Company Name,Industry,Location
Boeing,Aerospace & Defense,Chicago
Amazon.com,Internet Software & Services,Seattle
Burger King,Restaurants,Miami
Alerus,Finance,Grand Forks
Mahindra & Mahindra,Manufacturing,Mumbai
The Coca-Cola Company,Beverage Manufacturing,Atlanta
Hertz,Rental and leasing services,Estero
Nestle,Food Products (Manufacturing),Vevey
Bharat Petroleum Corporation Limited,Petroleum Refining,Mumbai
Macy's Inc,Department Stores,Cincinnati
FedEx,Transportation and Warehousing,Memphis
MCDONALD'S,Restaurants,Boston
VMware,Software,Palo Alto
The Walt Disney Company,Entertainment,Burbank
Bannon,Limousine Service,Denver
Apple Inc.,Computer Software,Cupertino
3M,Industrial Machinery & Components,St Paul
Semiconductor Manufacturing International Corporation,Semiconductor Manufacturing,Shanghai
Airtel,Telecommunications,Bengaluru
Coca-Cola,Soft drinks manufacturing,Atlanta
Coca-Cola,Consumer Goods,Atlanta
BHP Group,Metals & Mining,London
Apple Inc.,Computer Software,Cupertino
Indian Oil Corporation Limited,Petroleum,New Delhi
Hamilton Beach Brands,Manufacturing,East Hartford
VIZIO,Television and Home Appliances,Irvine
Kraft Heinz Company,Food Products,Pittsburgh
Johnson,Wearable Devices Manufacturing,Kansas City
Lallemand Inc,Food & Staples Retailing,Montreal
Bullock's,Apparel & Footwear,San Francisco
Cummins,Automotive,Columbus
'Gates Industrial Corporation plc',Machinery Manufacturing,Hemel Hemstead
Avery Dennison,Industrial Machinery Manufacturing,Baoding
Autodesk Inc.,Software,San Rafael
Dell,Computer Hardware & Software,"Round Rock, TX"
Central National Bank,Finance,Haysville
ION Geophysical Corporation,Oil & Gas,Houston
Mitsubishi Heavy Industries,Manufacturing,Tokyo
Huawei Technologies,Telecommunications Equipment,Shenzhen
Microsoft,Software & IT Services,Redmond
Siemens Healthineers,Medical and Scientific Instruments,North Andover
Daimler,Automotive,Stuttgart
NASA,Aerospace & Defense,Washington DC
Kellogg's,Cereal Manufacturing,Battle Creek
Microsoft Corporation,Computer Software,Redmond
Microsoft,Software,Redmond
Kwik Trip,Grocery Store,La Crosse
Samsung,Semiconductors,Suwon-si
Murray Energy Corporation,Coal Mining,New Concord
American Airlines,Transportation,Fort Worth
Microsoft,Software,Redmond
Ford Motor Company,Manufacturing,Dearborn
AT&T,Telecommunications Services,Dallas
Mitsubishi Heavy Industries,"Aircraft, Engines & Parts",Tokyo
GRINDSTONE,Metal service centers and steel treatment,Pittsburgh
"Amazon.com, Inc.",Internet software & services,Seattle
Brown-Forman Corporation,Food & Staples Retailing,Louisville
Etihad Airways,Airlines,Abu Dhabi
Citibank,Banking,New York
Toyota,Automobiles & Motorcycles,Tokyo
Canon,Electronics,Tokyo
IBM,Telecommunications,Armonk
Boeing,Aerospace & Defense,Chicago
Huawei,Information Technology,Shenzhen
Walmart,Retail,Bentonville
Blockbuster,"Rental, Leasing, And Business Services",Dallas
United Parcel Service Inc,Transportation,Atlanta
Givaudan,Manufacturing (chemical products),Geneva
Microsoft Corporation,Software,Redmond
Woolworths,Food and beverages stores,Newcastle
Istanbul Stock Exchange,Securities Exchange,Istanbul
BURGER KING,Restaurant,Wichita
FedEx,Transportation,Memphis
Amazon,Information Technology,Seattle
Microsoft,Computer Software,Redmond
AFLAC,Finance,Columbus
Nokia,Technology Hardware & Equipment,Espoo
Coca-Cola Company,Non-Alcoholic Beverages,Atlanta
Microsemi Corporation,Semiconductor & Other Electronic Components,Aliso Viejo
HSBC,diversified banking,London
Coca-Cola,Beverages,Atlanta
"Cisco Systems, Inc.",Computer Software,San Jose
KIA,Manufacturing,Seoul
Microsoft,Computer software,Redmond
Arvest Bank,Banking,Fayetteville
Toyota,Automobile,Tokyo
Microsoft,Information Technology,Redmond
Heineken,Beverages (Production and distribution of alcoholic beverages),New York
Adobe,Computer Software,San Jose
J & J Snack Foods Corp,Snack Foods,Pennsauken
Nokia,Communications Equipment,Espoo
Northrop Grumman,Defense,Los Angeles
Audi,Automobiles,Ingolstadt
Microsoft,Computer Software,Redmond
"HARMAN INTERNATIONAL INDUSTRIES, INC.",Automotive Parts,"Saint-Joseph, MI"
Garmin,Technology,Schaffhausen
Nomura,Banking & Financial Services,London
Amazon,E-commerce,Seattle
Apple,Computer Software,Cupertino
P&G,Personal Products,Cincinnati
$5 \times \$250$,Retail,New York
WPP,Media,London
Samsung Electronics,Manufacturing,Seoul
Walmart,Retail Trade,Bentonville
National Bank of Greece,Banking,Athens
Eaton,Engineering Services,Indianapolis
Budget,Retail,San Francisco
Airtel,Telecommunications,Delhi
First Solar,Solar power industry,Tempe
MICROSOFT CORPORATION,Computer Software,Redmond
Windstream Communications,Telecommunications,Little Rock
American Express,Finance,New York
Adidas,Athletic Shoes,Herzogenaurach
GOLDMARK,Life Insurance,Kansas City
Applied Materials,Semiconductors,San Jose
Dominion Energy,"Electric Power Generation, Transmission and Distribution",Richmond
Hilton,Hotels,McLean
Cisco Systems,Technology,San Jose
BARCLAYS,Banking,London
PepsiCo,Food Products,Purchase
Nike,Apparel,Beaverton
Twitter,Internet software & services,San Francisco
Mcdonald's,Restaurant,Oak Brook
Mcdonald's,Fast food restaurant,Chicago
Google Inc.,Computer Software,Mountain View
Mcdonald's,Restaurants,London
Kroger Co,Grocery stores,Cincinnati
Nestle,Food Products,Vevey
CenturyLink,Telecommunications,Monroe
Amazon,Consumer Electronics,Seattle
Amazon,Retail,Seattle
Royal Bank of Canada,Banking,Toronto
Bank of America,Banks,Charlotte
Fiat,Automobile,Torino
Ford Motor Company,Automobiles,Dearborn
Coca-Cola,Soft Drinks,Atlanta
Adidas,Apparel & Fashion Retail,Herzogenaurach
Apple,Computer Hardware,Cupertino
Northrop Grumman,Defense,Los Angeles
Bank of America,Banks,Charlotte
Amazon,E-Commerce,Seattle
Cisco,Computer Software,San Jose
Eaton,electrical equipment manufacturing,London
Google Inc.,Computer Software,Mountain View
Vale,Materials,Belém
Amazon,Internet Software & Services,Seattle
Baxter International,Health Care Equipment,Deerfield
Cisco Systems,Networking and Network Management,San Jose
Cadbury,Food Manufacturing,Liverpool
Xerox,"Computer Peripheral Equipment, Not Elsewhere Classified",Norwalk
Nike Inc.,Apparel & Accessories (Incl. Jewelry),Beaverton
Nissan,Automobile Manufacturing,Yokohama
PepsiCo,Food Manufacturing,Purchase
Vinci,Construction,Paris
Coca-Cola,Drinks,Atlanta
Bharat Sanchar Nigam Limited,Telecommunications,New Delhi
Microsoft,Computer Software,Redmond
SEARS HARDWARE,"Hardware, building and garden supplies",Louisville
Tata Consultancy Services,Software,Mumbai
J.C. Penney,Department Stores,Plano
HITACHI,manufacturing,Tokyo
Miller,Food Products,Chicago
Tencent,Computer Software,Shenzhen
Samsung,Consumer electronics,Seoul
Microsoft,Technology,Redmond
SpiceJet,Transport,Gurugram
Toyota,Automotive,Toyota City
Wirecard,Financial Services,Aschheim
Coca-Cola,Beverage manufacturing,Atlanta
Ford,Motor vehicles,Dearborn
Mitsubishi Motors,Automotive,Tokyo
AstraZeneca,Pharmaceuticals,Macclesfield
H&R Block,Finance and Insurance,Kansas City
Federal-Mogul Corporation,Auto Parts,Southfield
'FedEx Corporation',Transportation,Memphis
Apple,Computer Software,Cupertino
Roche,Pharmaceuticals,Basel
Shell,Energy and Utilities,The Hague
Samsung,Consumer Electronics,Sungnam
Goldman Sachs,Investment Banking,New York
Pfizer Inc.,Pharmaceuticals,New York
Cisco Systems,Computer Hardware,San Jose
Nestlé S.A.,Food Products,Vevey
Kellogg's,Food,Battle Creek
Doosan,Aerospace & Defense,Seoul
Lexmark International,Office Equipment Manufacturing,Lexington
V.F. CORP,Apparel & Footwear,GREENSBORO
Apple,Computer Software,Cupertino
American Electric Power,electric utilities,Columbus
"Amazon Web Services, Inc.",Internet software & services,Seattle
Intel,Semiconductor & Other Electronic Components,Santa Clara
Amana Refrigeration,Electrical Products,Huntington
AUTOMOTIVE,Automobile,Stuttgart
Cisco,Computer Software,San Jose
The Coca-Cola Company,Soft drinks,Atlanta
ZIM Integrated Shipping Services,Carriers,Haifa
'LG Electronics',Manufacturing,Seoul
Northrop Grumman,Aerospace,Los Angeles
"Bausch Health Companies, Inc.",Pharmaceuticals,Laval
Sun Microsystems,Software,Santa Clara
Adidas,Consumer Durables,Herzogenaurach
Walmart,Retail trade,Bentonville
BOSCH,Automotive Industry,Stuttgart
cisco,Internet software & services,San Jose
Apple Inc.,Technology,Cupertino
Larsen & Toubro,Engineering,Mumbai
Adidas,Clothing,Herzogenaurach
Xiaomi,Electronics,Beijing
Kroger,Retail,Cincinnati
Boeing,Manufacturing,Chicago
AIG,Insurance,New York
Coca-Cola,Beverages,Atlanta
Tata Consultancy Services,Information Technology & Services,Mumbai
Eastern Air Lines,Air Transportation,Miami
Acushnet Company,Manufacturing,Boston
Apple,Computer Software,Cupertino
Ramco Cements Limited,Cement,Coimbatore
Comcast,Television Broadcasting,Philadelphia
Walmart,Retail,Bentonville
AES Corporation,Electric Power Generation,Arlington
Microsoft,Information Technology and Services,Redmond
Nintendo,Consumer Electronics,Kyoto
McDonald's Corporation,Restaurants,Oak Brook
Walmart,Retail trade,Bentonville
Harley-Davidson,Motor Vehicles,Milwaukee
Entergy,"Electric power generation, transmission and distribution",New Orleans
Bayer,Pharmaceuticals,Kansas City
Tyson Foods,Meat products,Springdale
ZOMATO,Food & Beverage Services,New Delhi
Samsung Electronics,Electrical/Electronic Manufacturing,Suwon-si
'Amazon.com Inc.','Internet retail','Seattle'
Apex,Banking and financial services,New York
Hewlett Packard Enterprise,Computer Software,Palo Alto
Nike,Clothing Stores,Beaverton
Tata Steel Ltd,Iron Ore,Jamshedpur
Mindtree,Information Technology and Services,Bengaluru
Honda,Manufacturing,Toronto
Accenture,Management consulting services,Houston
Citigroup,Banking,New York
Samsung Electronics,Consumer Electronics,Suwon-si
NatWest,Banking,London
Toyota Motor Corporation,Automotive,Toyota
Nyzo,Software,Sunnyvale
Toyota Motor Corporation,Motor Vehicles Manufacturing,Toyota
Ford,Automobile,Dearborn
Jamal Khashoggi,Politics,Washington DC
Sporting Goods,Sporting Goods,Boston
PHOENIX CONTACT,Electrical Equipment,Sydney
Dell Technologies,Computer hardware & software,Round Rock
Nintendo,Gaming,Kyoto
Firstmark Capital,Venture Capital & Private Equity,San Antonio
Lazard Ltd,Financial Services,New York
Kia,Automotive,Seoul
Nestle,Food,Vevey
Toyota,Automotive industry,Michigan
Intel,Computer Manufacturing,Santa Clara
Baidu,Internet Software & Services,Beijing
MERCK AND CO. INC.,Pharmaceuticals,Whitehouse Station
Aetna Inc,Healthcare,Hartford
IBM,Information Technology,Armonk
Doordash,Internet software & services,San Francisco
Microsoft Corporation,Software,Redmond
United States Steel Corporation,Iron and Steel,Pittsburgh
United Wholesale Mortgage,Finance,Pontiac
SAP,Computer Software,Walldorf
Boeing,Aerospace & Defense,Seattle
Microsoft,manufacturing,Redmond
California,Consumer Non-Durables,Anaheim
P&G,Manufacturing,Cincinnati
AkzoNobel,Paints,Amsterdam
Pinnacle Foods,Food Products,Mountainside
UPS,Postal and freight transportation,Atlanta
Samsung,Computer hardware & software,Seoul
Atlassian,Software,Sydney
NOKIA,Telecommunications Equipment,Espoo
PepsiCo,Food Products,Purchase
Hill's Pet Nutrition,Animal & Marine Products,Topeka
MacDonald,Food Product,Hull
American Airlines,Transportation,Fort Worth
Dell,Computer hardware,Round Rock
HARMAN International,Automobiles & Vehicles,Stamford
IKEA,Consumer Durables,Singapore
Amazon,Internet Software & Services,Seattle
HEXPOL,Manufacturing,Columbus
Amphenol,Manufacturing,Salisbury
Talend,Software,Redwood City
Samsung Electronics,Manufacturing,Seoul
Burger King,Restaurants,Miami
Siemens,Electrical equipment,Munich
Microsoft,Computer Software,Redmond
Microsoft,Computer Software,Redmond
PepsiCo,Food Products,Purchase
'Toyota Motor Corp',Automobile,Toyota
Apple,Technology,Cupertino
Avis Car Rental,Car rental,Toronto
J.D. POWER,Automobile,Costa Mesa
DICKS SPORTING GOODS,Sporting goods stores,CORAOPOLIS
Nestlé,Food Products,Vevey
Petrobras,Oil and Gas,RIO DE JANEIRO
PepsiCo,Food Products,Purchase
Sony,Consumer Electronics,New York
Apple,Computer Software,Cupertino
The Coca-Cola Company,Soft drinks,Atlanta
Royal DSM,Pharmaceuticals,Heerlen
Cisco Systems,Communications Equipment,San Jose
Chevron,Petroleum Refining,San Ramon
Pepsico Inc,Food Products,Purchase
Coca-Cola,Beverages,Atlanta
Steelcase,Furniture (except wood) manufacturing,Grand Rapids
BASF,Chemicals,Ludwigshafen
Ford Motor Company,Automobiles,Dearborn
GiveMeSport,Media,London
Nike,Footwear,Beaverton
PepsiCo,Food Products,Plano
"Novelis, Inc.",Aluminum roll and foil,Atlanta
Domino's Pizza,Food,Ann Arbor
Suncor Energy,Petroleum refining,Calgary
Briggs & Stratton Corporation,Automotive,Wauwatosa
Lee Kum Kee,Food & Beverages,Hong Kong
TATA Steel Ltd,Manufacturing,Kolkata
"Ricoh Company, Ltd",Business services,Tokyo
PepsiCo,Food Products,Purchase
AT&T,Telecommunications,Dallas
AOL,Internet Software and Services,New York City
Unifirst,Clothing,Bristol
The Home Depot,Household Appliances,Atlanta
Shell,Oil & Gas Exploration & Production,Houston
NVIDIA,Semiconductors & Semiconductor Equipment,Santa Clara
American Express,Banking,New York
HP Inc.,Computer Manufacturing,Palo Alto
"Cisco Systems, Inc.",Computer Software,San Jose
Burger King,Quick Service Restaurants,Dubai
Caterpillar,Machinery Manufacturing,Peach Tree City
German Business International,Finance,Frankfurt
Ford Motor Company,Automobile Manufacturing,Dearborn
Ericsson,Telecommunications equipment,Stockholm
Cisco Systems,Computer Networking,San Jose
JetBlue Airways Corporation,Air Transportation,New York
AIG,Insurance,New York
Marriott International,Hotels and Motels,Bethesda
Samsung,Electrical/Electronic Manufacturing,Seoul
Rohit Suris,Manufacturing,Mumbai
Kraft Heinz,Food products,Johannesburg
LG,Home Electronics,Seoul
Mann+Hummel,Automotive,Ludwigsburg
BHP Billiton,Metals & Mining,Sydney
The Procter & Gamble Company,Consumer Non-Durables,Cincinnati
U.S. Bancorp,Banks & Thrifts,Minneapolis
JPMorgan Chase,Banking,New York
Coca-Cola,Beverages,Atlanta
Dell Technologies,Computer & Network Security,Round Rock
PepsiCo,Food Products,Purchase
Nike,Retail,Beaverton
Kraft Heinz,Manufacturing,Chicago
Nexon,Software,Gyeonggi-do
Samsung,Electrical Engineering,Seoul
Wockhardt,Pharmaceuticals,Mumbai
'A.T. Kearney',Management consulting,Chicago
"Epson America, Inc.",Electronic Components,Long Beach
Nike,Apparel,Beaverton
Walmart,Retail,Bentonville
Dell Technologies,Technology,Round Rock
Ferndale Press,Printing,Ferndale
Ford,"Motor vehicles, bodies, trailers",Dearborn
Facebook Inc,Computer Software,Menlo Park
Colgate-Palmolive,Consumer Non-Durables,New York
Hewlett-Packard,Computer Software,Houston
Pure Storage,Computer hardware,Mountain View
Bharat Petroleum Corporation Limited,Petroleum,Mumbai
"Cisco Systems, Inc.",Communication Equipment,San Jose
Walmart,Retail,Bentonville
Nike,Clothing Stores,Beaverton
World Vision,Nonprofit,Federal Way
Amazon,Internet software & services,Seattle
PepsiCo,Food Products,Purchase
Cognizant,Information Technology,Chennai
Vodafone,Telecommunications,London
REALTREE,Apparel & Fashion,Dallas
GOLTV,Broadcasting,Cuernavaca
Luminous Power Technologies,Manufacturing,Bangalore
Citigroup,Finance,New York
Burger King,Restaurants,Miami
Audi,Automotive,Ingolstadt
The Boeing Company,Aerospace/Defense,Chicago
MICROSOFT,Computer software,Redmond
Disney,Media,Burbank
Acer,Information Technology and Services,Taipei
Chase Bank,Banking,Chicago
Nike,Athletic Footwear Stores,Beaverton
Corning Inc,Industrial Manufacturing,Corning
Kohl’s,Department Stores,Milwaukee
Walmart Inc.,Retail,Bentonville
Bausch & Lomb,Pharmaceuticals & Biotech,Rochester
"Cisco Systems, Inc.",Computer Software,San Jose
THOMSON REUTERS CORPORATION,Electronic Component Manufacturing,Toronto
Nescafe,Food Products,New York
Webjet Limited,Travel agency services,Melbourne
Microsoft Corporation,Computer Software,Redmond
Kellogg's,Food & Staples,Battle Creek
Apple,Computers,Cupertino
Intel,Semiconductors,Santa Clara
American Airlines,Air transportation,Fort Worth
Amazon.com Inc.,Internet Software & Services,Seattle
Analog Devices,Electronic Components,Wilmington
American Express,Finance,New York
Amazon Inc.,Internet software & services,Seattle
Axel Springer,Media,Berlin
Vodafone,Telecommunication,Mumbai
Tesla,Automotive,Austin
Nike,Athletic Footwear (except safety footwear),Beaverton
Mitsubishi Motors,Automotive,Tokyo
Cisco,Information Technology & Services,San Jose
Coca-Cola,Beverages,Atlanta
Qualcomm Inc,Semiconductors,San Diego
BlackRock,Financial Services,New York
TATA,Manufacturing,Mumbai
American Express,Finance,New York
Pinterest,Internet Software & Services,San Francisco
NVIDIA,Semiconductor,Santa Clara
Honeywell,Manufacturing,Atlanta
Bank of America,Banking,Charlotte
Frasers Centrepoint Asset Management Singapore,Real estate operations,Singapore
Akamai Technologies,Internet Software & Services,Cambridge
Coca-Cola,Beverages,Atlanta
Zero Dark Thirty,Entertainment,Columbus
Pioneer,Real Estate,Las Vegas
Netflix,Telecommunications,Los Gatos
Samsung,Manufacturing,Yongin
Baldwin & Lyons,Insurance,New York
AstraZeneca,Pharmaceuticals,Cambridge
Nestlé,Manufacturing,Vevey
Royal Bank of Canada,Finance,Toronto
Walmart,Department stores,Bentonville
JP Morgan Chase & Co,Commercial Banking,Chicago
The Coca-Cola Company,Manufacturing,Atlanta
Uber Technologies Inc,Transportation,San Francisco
Twitter,Media,San Francisco
Nike Inc.,Apparel & Luxury Goods,Beaverton
YES Bank,Banking,Mumbai
Samsung Electronics,Electrical/Electronic Manufacturing,Suwon-si
Samsung Group,Manufacturing,Seoul
Bharti Enterprises,Others,New Delhi
PepsiCo,Food,Purchase
Evercore ISI,Investment Banking and Brokerage,New York City
Korea Electric Power Corporation,electric utility,Seoul
Snow,Manufacturing,Grand Rapids
British Airways,Transport,London
Google LLC,Computer Software,Mountain View
Tesla,Transportation Equipment,Palo Alto
Apple Inc.,Computer Software,Cupertino
Dell,Computer Hardware,Round Rock
Dell,Computer hardware,Round Rock
Procter & Gamble,Consumer Goods,Cincinnati
Amazon,Retail trade,Seattle
Hewlett Packard Enterprise,Computer Manufacturing,Houston
Experian,Internet Software & Services,Cleveland
Woodward,Industrial Machinery,Fort Collins
Microsoft,Software,Redmond
Microsoft,Computer Software,Redmond
Microsoft,Software,Redmond
Cisco Systems,Computer Networking,San Jose
Walmart,Supermarkets,Bentonville
Masimo Corporation,Medical Appliances Manufacturing,Irvine
Pfizer Inc,Pharmaceuticals,New York
Walmart,Retail,Bentonville
Ashok Leyland,Automotive,Chennai
Honeywell,Industrial Machinery Manufacturing,Morristown
Akamai Technologies,Internet software & services,Cambridge
Amazon,Internet software & services,Seattle
Adobe,Technology Hardware & Equipment,San Jose
American Express,Finance,New York
Nestle,Food Manufacturing,Burlingame
HP,Computer Hardware,Palo Alto
Citi,Finance,New York
HEINEKEN,Beverages,Dublin
SAP SE,Software,Walldorf
American Standard,Building Materials,Piscataway
Tesla,Automotive,Austin
Karachi United Breweries Limited,Beverages,Karachi
Wipro,Software & Programming,Pune
HP INC,Computer hardware,Palo Alto
Time Warner Cable,Telecommunications,Charlotte
Gucci,Apparel,Paris
Walmart,Retail,Bentonville
Walter Energy,Metal Ores,Austin
FedEx Corporation,Transportation,Memphis
United Airlines Inc,Airline,Chicago
Procter & Gamble,Nonmetallic Mineral Products,Cincinnati
Deutsche Telekom AG,Telecommunications,Bonn
Airbus,Aerospace/Defense,Toulouse
Toyota Motor,Manufacturing,Toyota
Philips,Medical Devices,Amsterdam
Sony,Consumer Electronics,Tokyo
Kinder Morgan Inc,Pipelines,Houston
Honeywell,Industrial Machinery & Components,Morristown
Johnson & Johnson,Pharmaceuticals,New Brunswick
Tata Consultancy Services,Insurance,Mumbai
Samsung,Electrical equipment,Suwon
Royal Caribbean Cruises Limited,Travel Arrangement,Miami
Regal Beloit Corporation,Machinery Manufacturing,Belvidere
Boston Scientific Corporation,Medical Equipment,Marlborough
Kraft Foods,retail,Northfield
Hertz,Rental Car Companies,Estero
Manpower Group,Employment Services,Milwaukee
The Walt Disney Company,Leisure industry,Burbank
China UnionPay,banking,Shanghai
Huawei,Technology,Shenzhen
Northrop Grumman,Aerospace & Defense,El Segundo
AIRBUS,Aerospace,Toulouse
